SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,SessionMonth,SessionDay,Promts_Per_Min,duration_bin,Discipline_mod,StudentLevel_ord
SESSION00001,Undergraduate,Computer Science,2024-11-03,31.2,11,Studying,2,Assignment Completed,True,1.0,11,Sunday,0.3525641025641026,31-60,Computer Science,1
SESSION00002,Undergraduate,Psychology,2024-08-25,13.09,6,Studying,3,Assignment Completed,True,2.0,8,Sunday,0.4583651642475172,6-15,Psychology,1
SESSION00003,Undergraduate,Business,2025-01-12,19.22,5,Coding,3,Assignment Completed,True,3.3,1,Sunday,0.2601456815816858,16-30,Business,1
SESSION00004,Undergraduate,Computer Science,2025-05-06,3.7,1,Coding,3,Assignment Completed,True,3.5,5,Tuesday,0.27027027027027023,0-5,Computer Science,1
SESSION00005,Undergraduate,Psychology,2025-03-18,28.12,9,Writing,3,Assignment Completed,True,2.9,3,Tuesday,0.3200568990042674,16-30,Psychology,1
SESSION00006,Graduate,Business,2025-01-17,7.54,1,Coding,5,Idea Drafted,True,5.0,1,Friday,0.13262599469496023,6-15,Business,2
SESSION00007,High School,Biology,2024-09-07,14.6,3,Writing,3,Assignment Completed,False,1.9,9,Saturday,0.20547945205479454,6-15,Biology,0
SESSION00008,Undergraduate,Biology,2024-12-26,9.2,3,Writing,5,Assignment Completed,True,3.9,12,Thursday,0.32608695652173914,6-15,Biology,1
SESSION00009,Undergraduate,Business,2025-06-18,8.15,1,Brainstorming,3,Assignment Completed,True,3.3,6,Wednesday,0.12269938650306748,6-15,Business,1
SESSION00010,Undergraduate,Math,2025-04-14,5.57,1,Studying,3,Assignment Completed,False,1.4,4,Monday,0.17953321364452424,6-15,Math,1
SESSION00011,High School,Math,2025-02-24,24.52,6,Writing,2,Assignment Completed,False,1.9,2,Monday,0.24469820554649266,16-30,Math,0
SESSION00012,Undergraduate,Psychology,2024-11-07,11.51,5,Coding,3,Assignment Completed,False,3.9,11,Thursday,0.43440486533449174,6-15,Psychology,1
SESSION00013,Undergraduate,History,2024-07-05,15.47,6,Studying,5,Idea Drafted,True,4.9,7,Friday,0.3878474466709761,16-30,History,1
SESSION00014,Undergraduate,Business,2024-11-03,24.13,5,Writing,4,Idea Drafted,True,3.7,11,Sunday,0.20721094073767096,16-30,Business,1
SESSION00015,High School,Computer Science,2025-05-21,22.51,8,Writing,3,Assignment Completed,True,4.9,5,Wednesday,0.3553976010661928,16-30,Computer Science,0
SESSION00016,High School,Psychology,2024-11-22,22.16,6,Coding,2,Idea Drafted,True,2.8,11,Friday,0.27075812274368233,16-30,Psychology,0
SESSION00017,Undergraduate,Business,2025-04-27,6.46,2,Writing,5,Confused,True,5.0,4,Sunday,0.30959752321981426,6-15,Business,1
SESSION00018,High School,Biology,2025-04-13,18.36,4,Studying,2,Confused,False,1.2,4,Sunday,0.2178649237472767,16-30,Biology,0
SESSION00019,Undergraduate,Math,2024-12-08,18.26,4,Studying,5,Assignment Completed,False,4.9,12,Sunday,0.21905805038335158,16-30,Math,1
SESSION00020,High School,Engineering,2024-08-03,19.36,6,Studying,4,Assignment Completed,True,3.5,8,Saturday,0.30991735537190085,16-30,Engineering,0
SESSION00021,Undergraduate,Engineering,2025-05-03,26.79,11,Brainstorming,3,Idea Drafted,True,4.4,5,Saturday,0.41060097051138483,16-30,Engineering,1
SESSION00022,Undergraduate,Business,2025-01-09,11.11,2,Homework Help,5,Assignment Completed,False,4.9,1,Thursday,0.18001800180018002,6-15,Business,1
SESSION00023,Undergraduate,Biology,2025-04-21,19.87,8,Studying,2,Idea Drafted,True,3.1,4,Monday,0.40261701056869653,16-30,Biology,1
SESSION00024,Undergraduate,Math,2025-05-05,17.65,4,Coding,3,Gave Up,False,3.6,5,Monday,0.226628895184136,16-30,Math,1
SESSION00025,Graduate,Psychology,2024-11-27,8.1,3,Homework Help,5,Idea Drafted,True,4.3,11,Wednesday,0.3703703703703704,6-15,Psychology,2
SESSION00026,Undergraduate,Biology,2024-09-14,11.86,2,Writing,2,Idea Drafted,True,3.2,9,Saturday,0.16863406408094436,6-15,Biology,1
SESSION00027,Undergraduate,History,2024-08-28,6.42,2,Homework Help,4,Idea Drafted,True,4.0,8,Wednesday,0.3115264797507788,6-15,History,1
SESSION00028,High School,Math,2024-09-05,27.55,7,Writing,3,Confused,True,3.5,9,Thursday,0.2540834845735027,16-30,Math,0
SESSION00029,Undergraduate,Psychology,2025-02-20,27.28,6,Studying,2,Confused,False,3.4,2,Thursday,0.21994134897360704,16-30,Psychology,1
SESSION00030,Undergraduate,Engineering,2025-02-26,5.03,2,Studying,3,Confused,False,2.5,2,Wednesday,0.3976143141153081,6-15,Engineering,1
SESSION00031,High School,Biology,2024-12-28,23.79,6,Studying,3,Gave Up,False,2.4,12,Saturday,0.25220680958385877,16-30,Biology,0
SESSION00032,Undergraduate,Computer Science,2025-04-20,19.04,7,Studying,3,Idea Drafted,False,3.3,4,Sunday,0.36764705882352944,16-30,Computer Science,1
SESSION00033,High School,Psychology,2025-02-06,22.89,10,Coding,3,Idea Drafted,True,2.6,2,Thursday,0.436871996505024,16-30,Psychology,0
SESSION00034,Undergraduate,Business,2025-04-10,10.59,4,Writing,3,Gave Up,False,3.9,4,Thursday,0.3777148253068933,6-15,Business,1
SESSION00035,Undergraduate,Math,2025-03-21,25.1,7,Coding,4,Confused,True,4.3,3,Friday,0.2788844621513944,16-30,Math,1
SESSION00036,Undergraduate,Biology,2024-07-19,5.76,1,Writing,1,Confused,True,1.2,7,Friday,0.1736111111111111,6-15,Biology,1
SESSION00037,Undergraduate,Engineering,2025-04-09,33.79,8,Writing,2,Assignment Completed,False,1.6,4,Wednesday,0.23675643681562594,31-60,Engineering,1
SESSION00038,Undergraduate,Psychology,2024-09-20,13.64,5,Writing,2,Assignment Completed,True,2.6,9,Friday,0.36656891495601174,6-15,Psychology,1
SESSION00039,High School,Biology,2025-05-14,2.48,1,Studying,2,Idea Drafted,True,2.2,5,Wednesday,0.40322580645161293,0-5,Biology,0
SESSION00040,Graduate,Engineering,2025-03-06,11.77,3,Coding,4,Assignment Completed,True,4.4,3,Thursday,0.2548853016142736,6-15,Engineering,2
SESSION00041,Undergraduate,Computer Science,2025-06-21,33.29,15,Writing,2,Idea Drafted,True,1.7,6,Saturday,0.45058576148993695,31-60,Computer Science,1
SESSION00042,Undergraduate,Biology,2025-06-13,20.27,6,Studying,3,Confused,False,3.4,6,Friday,0.2960039467192896,16-30,Biology,1
SESSION00043,High School,History,2025-04-23,33.63,7,Homework Help,4,Assignment Completed,True,5.0,4,Wednesday,0.20814748736247396,31-60,History,0
SESSION00044,Undergraduate,Psychology,2025-01-01,4.54,1,Writing,5,Confused,False,4.6,1,Wednesday,0.22026431718061673,0-5,Psychology,1
SESSION00045,Undergraduate,Biology,2025-01-26,15.08,3,Writing,4,Assignment Completed,True,4.8,1,Sunday,0.1989389920424403,16-30,Biology,1
SESSION00046,High School,Math,2025-04-19,27.97,6,Writing,3,Assignment Completed,True,1.4,4,Saturday,0.21451555237754738,16-30,Math,0
SESSION00047,High School,Engineering,2024-12-18,46.11,12,Homework Help,4,Assignment Completed,True,3.4,12,Wednesday,0.26024723487312945,31-60,Engineering,0
SESSION00048,Undergraduate,Biology,2024-11-21,13.25,4,Research,2,Confused,False,1.4,11,Thursday,0.3018867924528302,6-15,Biology,1
SESSION00049,Graduate,Engineering,2024-10-27,16.9,6,Studying,3,Assignment Completed,True,3.7,10,Sunday,0.3550295857988166,16-30,Engineering,2
SESSION00050,Graduate,History,2025-02-28,28.49,5,Writing,5,Assignment Completed,True,5.0,2,Friday,0.17550017550017552,16-30,History,2
SESSION00051,Undergraduate,Psychology,2024-11-14,13.43,3,Studying,2,Idea Drafted,True,2.3,11,Thursday,0.22338049143708116,6-15,Psychology,1
SESSION00052,Graduate,Business,2024-09-09,22.72,11,Studying,2,Assignment Completed,True,1.0,9,Monday,0.4841549295774648,16-30,Business,2
